id	ownerInstitutionCode	basisOfRecord	catalogNumber	recordedBy	individualCount	lifeStage	behavior	year	month	day	fieldNotes	eventRemarks	country	stateProvince	locality	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	georeferenceVerificationStatus	scientificName	genus	vernacularName
	Endangered Wildlife Trust	HumanObservation	6638	Unknown	4	2 Adults, 2 Juveniles	Unknown	1998	7	13		Family group	South Africa	KwaZulu-Natal	Unknown		-29.94306	29.33250	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6639	Unknown	3	2 Adults, 1 Juvenile	Unknown	1998	6	26		Family group	South Africa	KwaZulu-Natal	Unknown		-30.30000	29.38250	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6676	Unknown	30	Adult	Feeding	1998	3	19		Flock (single species)	South Africa	Eastern Cape	Unknown		-30.13611	29.00278	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	6677	John (SACF)	24	Adult	Flying	1998	9	7		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.26806	29.66667	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	6678	SACF	22	Adult	Flying	1998	9	1		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.27083	29.66722	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	6680	P Brown	4	Adult	Flying	1998	8	15		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.40972	29.95139	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	KwaZulu-Natal Crane Foundation	HumanObservation	6681	Lisa	8	Adult	Flying	1998	5	23		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.24583	29.68611	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	KwaZulu-Natal Crane Foundation	HumanObservation	6682	Lisa	8	Adult	Flying	1998	5	23		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.24444	29.68889	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	KwaZulu-Natal Crane Foundation	HumanObservation	6683	Lisa	8	Adult	Flying	1998	5	23		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.23889	29.69306	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	6684	Pierre LeSuur	19	Adult	Flying	1998	6	15		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.43472	29.89306	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	6689	Unknown	5	Adult	Unknown	1998	9	29		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.34722	30.28333	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	6690	Nick	2	Adult	Unknown	1998	12	10		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.45000	30.35000	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6691	Unknown	23	Adult	Unknown	1998	7	28		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.25556	29.71667	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	6692	Unknown	23	Adult	Unknown	1998	5	1		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.26111	29.71667	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
