id	ownerInstitutionCode	basisOfRecord	catalogNumber	recordedBy	individualCount	lifeStage	behavior	year	month	day	fieldNotes	eventRemarks	country	stateProvince	locality	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	georeferenceVerificationStatus	scientificName	genus	vernacularName
	Endangered Wildlife Trust	HumanObservation	60	Glenn Ramke	1	Adult	Feeding	2005	1	27	Farm dam		South Africa	Mpumalanga	Unknown		-2.728.611	3.012.083	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	61	Glenn Ramke	2	Adult	Unknown	2005	1	29	Farm dam		South Africa	Mpumalanga	Unknown		-2.723.278	3.014.750	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	62	Ronelle Visagie	3	Adult	Feeding	2005	10	27	Feeding in lucerne fields at Ganzengat		South Africa	Northern Cape	Ganzengat		-3.052.500	2.490.500	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	64	Glenn Ramke	1	Adult	Feeding	2005	1	14	Field opposite		South Africa	Mpumalanga	Unknown		-2.734.556	3.014.306	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	65	Glenn Ramke	2	Adult	Feeding	2005	1	16	Field opposite		South Africa	Mpumalanga	Unknown		-2.734.556	3.014.306	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	66	Bradley Gibbons	3	Adult	Unknown	2005	10	5	First  time I've seen cranes here. It is a disturbed area.		South Africa	Northern Cape	Unknown		-3.112.722	2.459.361	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	67	Glenn Ramke	2	Adult	Flying	2005	1	8	Flew from S, landed in reeds		South Africa	Mpumalanga	Unknown		-2.736.194	3.011.944	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	68	Bradley Gibbons	14	Adult	Flying	2005	5	25	Flying over the dam that is near some mielie lands		South Africa	Eastern Cape	Unknown		-3.149.861	2.555.278	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	69	Mark van Niekerk	70	65 Adults, 5 Juveniles	Feeding	2005	5	5	"Four of the immature birds have rings.All have Yellow on right leg. Left leg Combinations: Yellow/Orange; Yellow/Red; Green/Blue; Orange/Red"		South Africa	Eastern Cape	Unknown		-3.137.833	2.775.028	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	71	Glenn Ramke	2	Adult	Feeding	2005	1	10	Have not found GCC nesting here before		South Africa	Mpumalanga	Unknown		-2.724.861	3.005.889	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
